from_account_no,merchant_id,tx_id,amount,currency,channel,created_at
A-2021,M-RideShare,PY-021-04-1745535000,145.97,USD,online,2025-04-24T22:50:00
A-2022,M-Toys,PY-022-00-1745581320,75.74,USD,pos,2025-04-25T11:42:00
A-2022,M-Books,PY-022-01-1745590740,178.02,USD,pos,2025-04-25T14:19:00
A-2022,M-Books,PY-022-02-1745593320,216.51,USD,mobile,2025-04-25T15:02:00
A-2022,M-Sports,PY-022-03-1745605740,195.29,USD,mobile,2025-04-25T18:29:00
A-2022,M-Pizza,PY-022-04-1745617500,110.28,USD,pos,2025-04-25T21:45:00
A-2023,M-Grocery,PY-023-00-1745660460,196.71,USD,pos,2025-04-26T09:41:00
A-2023,M-RideShare,PY-023-01-1745673240,177.49,USD,mobile,2025-04-26T13:14:00
A-2023,M-Coffee,PY-023-02-1745688540,123.96,USD,pos,2025-04-26T17:29:00
A-2023,M-Fashion,PY-023-03-1745694480,147.86,USD,mobile,2025-04-26T19:08:00
A-2023,M-Fashion,PY-023-04-1745709600,135.95,USD,mobile,2025-04-26T23:20:00
A-2024,M-Cinema,PY-024-00-1743679620,99.76,USD,pos,2025-04-03T11:27:00
A-2024,M-Pet,PY-024-01-1743692100,100.67,USD,pos,2025-04-03T14:55:00
A-2024,M-Tools,PY-024-02-1743700620,108.16,USD,pos,2025-04-03T17:17:00
A-2024,M-Online,PY-024-03-1743708480,157.84,USD,pos,2025-04-03T19:28:00
A-2024,M-Home,PY-024-04-1743718860,196.79,USD,pos,2025-04-03T22:21:00
A-2025,M-Books,PY-025-00-1743757740,86.12,USD,pos,2025-04-04T09:09:00
A-2025,M-Online,PY-025-01-1743775980,93.03,USD,online,2025-04-04T14:13:00
A-2025,M-Sports,PY-025-02-1743787740,16.51,USD,online,2025-04-04T17:29:00
A-2025,M-Garden,PY-025-03-1743796620,208.30,USD,pos,2025-04-04T19:57:00
A-2025,M-Pet,PY-025-04-1743809040,4.28,USD,online,2025-04-04T23:24:00
A-2026,M-Pizza,PY-026-00-1743850080,188.20,USD,online,2025-04-05T10:48:00
A-2026,M-Cinema,PY-026-01-1743864420,176.57,USD,pos,2025-04-05T14:47:00
A-2026,M-Gas,PY-026-02-1743869640,97.58,USD,pos,2025-04-05T16:14:00
A-2026,M-Pizza,PY-026-03-1743880860,160.15,USD,online,2025-04-05T19:21:00
A-2026,M-Cinema,PY-026-04-1743889140,8.85,USD,online,2025-04-05T21:39:00
A-2027,M-Grocery,PY-027-00-1743939360,21.22,USD,online,2025-04-06T11:36:00
A-2027,M-Fashion,PY-027-01-1743944100,42.44,USD,online,2025-04-06T12:55:00
A-2027,M-Streaming,PY-027-02-1743956400,101.67,USD,online,2025-04-06T16:20:00
A-2027,M-Sports,PY-027-03-1743967020,57.74,USD,pos,2025-04-06T19:17:00
A-2027,M-Cinema,PY-027-04-1743976860,14.30,USD,online,2025-04-06T22:01:00
A-2028,M-Online,PY-028-00-1744018860,172.53,USD,mobile,2025-04-07T09:41:00
A-2028,M-Grocery,PY-028-01-1744030080,209.07,USD,pos,2025-04-07T12:48:00
A-2028,M-Pharmacy,PY-028-02-1744040340,54.76,USD,online,2025-04-07T15:39:00
A-2028,M-Garden,PY-028-03-1744056420,208.66,USD,online,2025-04-07T20:07:00
A-2028,M-Hotel,PY-028-04-1744067760,39.41,USD,mobile,2025-04-07T23:16:00
A-2029,M-Electro,PY-029-00-1744112700,171.78,USD,pos,2025-04-08T11:45:00
A-2029,M-Garden,PY-029-01-1744117560,8.57,USD,online,2025-04-08T13:06:00
A-2029,M-Pizza,PY-029-02-1744134180,89.07,USD,mobile,2025-04-08T17:43:00
A-2029,M-Garden,PY-029-03-1744135440,152.86,USD,mobile,2025-04-08T18:04:00
A-2029,M-FastFood,PY-029-04-1744146360,187.51,USD,mobile,2025-04-08T21:06:00
A-2030,M-Garden,PY-030-00-1744192200,172.83,USD,online,2025-04-09T09:50:00
A-2030,M-Hotel,PY-030-01-1744208820,17.96,USD,mobile,2025-04-09T14:27:00
A-2030,M-Sports,PY-030-02-1744214400,181.45,USD,pos,2025-04-09T16:00:00
A-2030,M-Fashion,PY-030-03-1744226580,156.49,USD,online,2025-04-09T19:23:00
A-2030,M-Tools,PY-030-04-1744235160,212.51,USD,online,2025-04-09T21:46:00
A-2031,M-Cinema,PY-031-00-1744285860,171.10,USD,online,2025-04-10T11:51:00
A-2031,M-Garden,PY-031-01-1744293120,61.24,USD,pos,2025-04-10T13:52:00
A-2031,M-Fashion,PY-031-02-1744298220,55.92,USD,online,2025-04-10T15:17:00
A-2031,M-Pizza,PY-031-03-1744317540,76.00,USD,online,2025-04-10T20:39:00
A-2031,M-Pet,PY-031-04-1744323060,49.03,USD,online,2025-04-10T22:11:00
A-2032,M-Toys,PY-032-00-1744366620,155.16,USD,online,2025-04-11T10:17:00
A-2032,M-Tools,PY-032-01-1744380000,208.73,USD,pos,2025-04-11T14:00:00
A-2032,M-Sports,PY-032-02-1744386360,109.02,USD,pos,2025-04-11T15:46:00
A-2032,M-Pet,PY-032-03-1744403400,100.25,USD,pos,2025-04-11T20:30:00
A-2032,M-Books,PY-032-04-1744406280,90.76,USD,pos,2025-04-11T21:18:00
A-2033,M-Garden,PY-033-00-1744454520,83.08,USD,mobile,2025-04-12T10:42:00
A-2033,M-Sports,PY-033-01-1744467720,219.27,USD,mobile,2025-04-12T14:22:00
A-2033,M-Fashion,PY-033-02-1744474920,61.79,USD,online,2025-04-12T16:22:00
A-2033,M-Streaming,PY-033-03-1744481220,71.47,USD,mobile,2025-04-12T18:07:00
A-2033,M-RideShare,PY-033-04-1744501680,44.56,USD,mobile,2025-04-12T23:48:00
A-2034,M-Garden,PY-034-00-1744539420,214.92,USD,mobile,2025-04-13T10:17:00
A-2034,M-Electro,PY-034-01-1744553880,183.68,USD,online,2025-04-13T14:18:00
A-2034,M-RideShare,PY-034-02-1744557780,68.59,USD,mobile,2025-04-13T15:23:00
A-2034,M-Gas,PY-034-03-1744574880,12.88,USD,pos,2025-04-13T20:08:00
A-2034,M-Pharmacy,PY-034-04-1744586280,141.42,USD,online,2025-04-13T23:18:00
A-2035,M-Grocery,PY-035-00-1744624500,127.57,USD,online,2025-04-14T09:55:00
A-2035,M-Home,PY-035-01-1744637280,43.01,USD,pos,2025-04-14T13:28:00
A-2035,M-Pet,PY-035-02-1744649700,27.76,USD,pos,2025-04-14T16:55:00
A-2035,M-Online,PY-035-03-1744659060,128.21,USD,mobile,2025-04-14T19:31:00
A-2035,M-Pharmacy,PY-035-04-1744664940,179.02,USD,online,2025-04-14T21:09:00
A-2036,M-Electro,PY-036-00-1744708500,124.10,USD,online,2025-04-15T09:15:00
A-2036,M-Toys,PY-036-01-1744727880,51.97,USD,mobile,2025-04-15T14:38:00
A-2036,M-Fashion,PY-036-02-1744734480,67.53,USD,mobile,2025-04-15T16:28:00
A-2036,M-Garden,PY-036-03-1744744740,137.76,USD,mobile,2025-04-15T19:19:00
A-2036,M-Streaming,PY-036-04-1744758360,138.74,USD,online,2025-04-15T23:06:00
A-2037,M-RideShare,PY-037-00-1744801500,55.05,USD,mobile,2025-04-16T11:05:00
A-2037,M-Grocery,PY-037-01-1744805400,91.65,USD,mobile,2025-04-16T12:10:00
A-2037,M-FastFood,PY-037-02-1744824600,10.08,USD,online,2025-04-16T17:30:00
A-2037,M-Fashion,PY-037-03-1744834680,18.45,USD,pos,2025-04-16T20:18:00
A-2037,M-Garden,PY-037-04-1744843800,146.48,USD,pos,2025-04-16T22:50:00
A-2038,M-Cinema,PY-038-00-1744884420,51.78,USD,pos,2025-04-17T10:07:00
A-2038,M-Pharmacy,PY-038-01-1744897920,18.50,USD,pos,2025-04-17T13:52:00
A-2038,M-Garden,PY-038-02-1744907880,202.90,USD,online,2025-04-17T16:38:00
A-2038,M-FastFood,PY-038-03-1744914540,154.84,USD,online,2025-04-17T18:29:00
A-2038,M-Pet,PY-038-04-1744932840,97.99,USD,mobile,2025-04-17T23:34:00
A-2039,M-Sports,PY-039-00-1744970160,162.39,USD,mobile,2025-04-18T09:56:00
A-2039,M-Online,PY-039-01-1744981260,52.68,USD,mobile,2025-04-18T13:01:00
A-2039,M-Grocery,PY-039-02-1744997820,219.91,USD,mobile,2025-04-18T17:37:00
A-2039,M-Coffee,PY-039-03-1745004960,168.59,USD,pos,2025-04-18T19:36:00
A-2039,M-Fashion,PY-039-04-1745015580,201.79,USD,pos,2025-04-18T22:33:00
A-2040,M-Pet,PY-040-00-1745062020,213.28,USD,online,2025-04-19T11:27:00
A-2040,M-Home,PY-040-01-1745069160,72.67,USD,pos,2025-04-19T13:26:00
A-2040,M-Sports,PY-040-02-1745076060,153.53,USD,online,2025-04-19T15:21:00
A-2040,M-Cinema,PY-040-03-1745094300,10.96,USD,pos,2025-04-19T20:25:00
A-2040,M-Home,PY-040-04-1745100960,28.15,USD,online,2025-04-19T22:16:00
A-2041,M-Grocery,PY-041-00-1745149920,145.71,USD,mobile,2025-04-20T11:52:00
A-2041,M-Coffee,PY-041-01-1745155560,43.71,USD,online,2025-04-20T13:26:00
A-2041,M-Pet,PY-041-02-1745171280,138.71,USD,pos,2025-04-20T17:48:00
A-2041,M-Cinema,PY-041-03-1745173020,31.43,USD,online,2025-04-20T18:17:00
A-2041,M-Pet,PY-041-04-1745189760,29.35,USD,mobile,2025-04-20T22:56:00
A-2042,M-Books,PY-042-00-1745236260,157.02,USD,online,2025-04-21T11:51:00
A-2042,M-Cinema,PY-042-01-1745244000,91.53,USD,pos,2025-04-21T14:00:00
A-2042,M-Electro,PY-042-02-1745249340,143.55,USD,pos,2025-04-21T15:29:00
A-2042,M-FastFood,PY-042-03-1745265540,113.43,USD,online,2025-04-21T19:59:00
A-2042,M-Pet,PY-042-04-1745275980,215.71,USD,pos,2025-04-21T22:53:00
A-2043,M-Pharmacy,PY-043-00-1745318100,86.24,USD,mobile,2025-04-22T10:35:00
A-2043,M-Pharmacy,PY-043-01-1745333220,190.49,USD,online,2025-04-22T14:47:00
A-2043,M-Tools,PY-043-02-1745338860,60.98,USD,pos,2025-04-22T16:21:00
A-2043,M-FastFood,PY-043-03-1745351160,184.73,USD,mobile,2025-04-22T19:46:00
A-2043,M-Pharmacy,PY-043-04-1745364660,99.90,USD,online,2025-04-22T23:31:00
A-2044,M-Cinema,PY-044-00-1745403660,168.54,USD,online,2025-04-23T10:21:00
A-2044,M-Home,PY-044-01-1745416740,191.70,USD,mobile,2025-04-23T13:59:00
A-2044,M-Pizza,PY-044-02-1745422560,53.68,USD,online,2025-04-23T15:36:00
A-2044,M-Pet,PY-044-03-1745432400,156.03,USD,online,2025-04-23T18:20:00
A-2044,M-Pharmacy,PY-044-04-1745448120,110.49,USD,pos,2025-04-23T22:42:00
A-2045,M-Garden,PY-045-00-1745487120,75.04,USD,pos,2025-04-24T09:32:00
A-2045,M-Tools,PY-045-01-1745499960,200.57,USD,pos,2025-04-24T13:06:00
A-2045,M-Sports,PY-045-02-1745514540,191.99,USD,pos,2025-04-24T17:09:00
A-2045,M-Gas,PY-045-03-1745519400,76.47,USD,mobile,2025-04-24T18:30:00
A-2045,M-Online,PY-045-04-1745534460,187.83,USD,mobile,2025-04-24T22:41:00
A-2046,M-Home,PY-046-00-1745580240,139.02,USD,online,2025-04-25T11:24:00
A-2046,M-Toys,PY-046-01-1745589720,17.85,USD,mobile,2025-04-25T14:02:00
A-2046,M-FastFood,PY-046-02-1745603880,219.44,USD,mobile,2025-04-25T17:58:00
A-2046,M-Electro,PY-046-03-1745605620,168.00,USD,mobile,2025-04-25T18:27:00
A-2046,M-RideShare,PY-046-04-1745616480,153.60,USD,pos,2025-04-25T21:28:00
A-2047,M-Coffee,PY-047-00-1745659200,66.66,USD,online,2025-04-26T09:20:00
A-2047,M-Books,PY-047-01-1745672940,118.26,USD,mobile,2025-04-26T13:09:00
A-2047,M-RideShare,PY-047-02-1745689800,39.89,USD,pos,2025-04-26T17:50:00
A-2047,M-Pizza,PY-047-03-1745700900,137.48,USD,pos,2025-04-26T20:55:00
A-2047,M-Garden,PY-047-04-1745708280,34.06,USD,online,2025-04-26T22:58:00
A-2048,M-Fashion,PY-048-00-1743678960,58.41,USD,pos,2025-04-03T11:16:00
A-2048,M-FastFood,PY-048-01-1743688620,150.04,USD,pos,2025-04-03T13:57:00
A-2048,M-Hotel,PY-048-02-1743694080,217.32,USD,online,2025-04-03T15:28:00
A-2048,M-Gas,PY-048-03-1743712020,102.13,USD,online,2025-04-03T20:27:00
A-2048,M-Pet,PY-048-04-1743715440,26.14,USD,online,2025-04-03T21:24:00
A-2049,M-Garden,PY-049-00-1743765720,67.20,USD,mobile,2025-04-04T11:22:00
A-2049,M-Pizza,PY-049-01-1743771660,62.56,USD,mobile,2025-04-04T13:01:00
A-2049,M-Coffee,PY-049-02-1743788940,200.60,USD,mobile,2025-04-04T17:49:00
A-2049,M-FastFood,PY-049-03-1743796380,171.34,USD,pos,2025-04-04T19:53:00
A-2049,M-Hotel,PY-049-04-1743810660,50.52,USD,pos,2025-04-04T23:51:00
A-2050,M-Pharmacy,PY-050-00-1743851760,139.33,USD,mobile,2025-04-05T11:16:00
A-2050,M-FastFood,PY-050-01-1743861720,174.13,USD,pos,2025-04-05T14:02:00
A-2050,M-Pharmacy,PY-050-02-1743873780,22.56,USD,online,2025-04-05T17:23:00
A-2050,M-Sports,PY-050-03-1743882420,41.11,USD,pos,2025-04-05T19:47:00
A-2050,M-Hotel,PY-050-04-1743897360,118.19,USD,online,2025-04-05T23:56:00
A-2051,M-Pet,PY-051-00-1743930960,212.92,USD,online,2025-04-06T09:16:00
A-2051,M-Home,PY-051-01-1743951300,177.52,USD,online,2025-04-06T14:55:00
A-2051,M-Books,PY-051-02-1743952140,189.65,USD,mobile,2025-04-06T15:09:00
A-2051,M-Cinema,PY-051-03-1743971100,82.37,USD,online,2025-04-06T20:25:00
A-2051,M-Cinema,PY-051-04-1743974160,29.82,USD,online,2025-04-06T21:16:00
A-2052,M-Gas,PY-052-00-1744026420,129.85,USD,mobile,2025-04-07T11:47:00
A-2052,M-Books,PY-052-01-1744031160,105.31,USD,mobile,2025-04-07T13:06:00
A-2052,M-Toys,PY-052-02-1744046400,51.04,USD,pos,2025-04-07T17:20:00
A-2052,M-Fashion,PY-052-03-1744059120,200.34,USD,online,2025-04-07T20:52:00
A-2052,M-Electro,PY-052-04-1744068360,33.33,USD,pos,2025-04-07T23:26:00
A-2053,M-Electro,PY-053-00-1744108260,24.09,USD,mobile,2025-04-08T10:31:00
A-2053,M-Fashion,PY-053-01-1744115040,83.51,USD,mobile,2025-04-08T12:24:00
A-2053,M-Sports,PY-053-02-1744133640,130.45,USD,mobile,2025-04-08T17:34:00
A-2053,M-Sports,PY-053-03-1744138560,145.12,USD,online,2025-04-08T18:56:00
A-2053,M-Gas,PY-053-04-1744154760,10.10,USD,online,2025-04-08T23:26:00
A-2054,M-Fashion,PY-054-00-1744190880,209.27,USD,online,2025-04-09T09:28:00
A-2054,M-Hotel,PY-054-01-1744202580,121.15,USD,mobile,2025-04-09T12:43:00
A-2054,M-Pizza,PY-054-02-1744214580,62.87,USD,pos,2025-04-09T16:03:00
A-2054,M-Streaming,PY-054-03-1744225500,142.25,USD,mobile,2025-04-09T19:05:00
A-2054,M-Home,PY-054-04-1744232580,55.85,USD,pos,2025-04-09T21:03:00
A-2055,M-Online,PY-055-00-1744283580,183.07,USD,mobile,2025-04-10T11:13:00
A-2055,M-Streaming,PY-055-01-1744288620,179.43,USD,pos,2025-04-10T12:37:00
A-2055,M-Pharmacy,PY-055-02-1744303740,174.14,USD,mobile,2025-04-10T16:49:00
A-2055,M-Pharmacy,PY-055-03-1744309020,217.29,USD,mobile,2025-04-10T18:17:00
A-2055,M-RideShare,PY-055-04-1744325460,26.85,USD,pos,2025-04-10T22:51:00
A-2056,M-Hotel,PY-056-00-1744362000,174.43,USD,pos,2025-04-11T09:00:00
A-2056,M-Grocery,PY-056-01-1744381200,40.81,USD,pos,2025-04-11T14:20:00
A-2056,M-Sports,PY-056-02-1744386420,117.16,USD,mobile,2025-04-11T15:47:00
A-2056,M-Fashion,PY-056-03-1744396200,171.83,USD,mobile,2025-04-11T18:30:00
A-2056,M-Fashion,PY-056-04-1744412760,112.33,USD,mobile,2025-04-11T23:06:00
A-2057,M-Tools,PY-057-00-1744451160,68.45,USD,mobile,2025-04-12T09:46:00
A-2057,M-Pet,PY-057-01-1744459380,186.86,USD,online,2025-04-12T12:03:00
A-2057,M-Pet,PY-057-02-1744477560,157.59,USD,online,2025-04-12T17:06:00
A-2057,M-Online,PY-057-03-1744484220,72.90,USD,pos,2025-04-12T18:57:00
A-2057,M-Gas,PY-057-04-1744492080,138.48,USD,mobile,2025-04-12T21:08:00
A-2058,M-Home,PY-058-00-1744544700,85.66,USD,mobile,2025-04-13T11:45:00
A-2058,M-Fashion,PY-058-01-1744553880,112.70,USD,online,2025-04-13T14:18:00
A-2058,M-Electro,PY-058-02-1744559400,188.06,USD,mobile,2025-04-13T15:50:00
A-2058,M-Streaming,PY-058-03-1744577160,96.33,USD,pos,2025-04-13T20:46:00
A-2058,M-Fashion,PY-058-04-1744582860,89.52,USD,mobile,2025-04-13T22:21:00
A-2059,M-Sports,PY-059-00-1744622400,70.82,USD,online,2025-04-14T09:20:00
A-2059,M-Pet,PY-059-01-1744636140,17.57,USD,pos,2025-04-14T13:09:00
A-2059,M-Electro,PY-059-02-1744644420,164.58,USD,online,2025-04-14T15:27:00
A-2059,M-Coffee,PY-059-03-1744655700,130.26,USD,mobile,2025-04-14T18:35:00
A-2059,M-Electro,PY-059-04-1744672860,92.15,USD,mobile,2025-04-14T23:21:00
